Os 8845;Beroun_kolej_C;Lhota_kolej_C;0:00:00;0,7;ahead;1500
R 764;Karlstejn_kolej_A;Beroun_kolej_A;0:00:30;0,8;ahead;9000
N 31 54 597 5 004;Beroun_kolej_B;Karlstejn_kolej_B;0:01:00;0,7;reverse;3100
Os 8845;Lhota_kolej_C;Beroun_kolej_C;0:01:30;0,7;ahead;8200
N 31 54 597 5 004;Karlstejn_kolej_B;Beroun_kolej_B;0:02:00;0,8;ahead;8000
R 764;Beroun_kolej_A;Karlstejn_kolej_A;0:02:30;0,7;ahead;3000
Os 8845;Beroun_kolej_C;Lhota_kolej_C;0:03:00;0,7;ahead;1500
R 764;Karlstejn_kolej_A;Beroun_kolej_A;0:03:30;0,8;ahead;9000
N 31 54 597 5 004;Beroun_kolej_B;Karlstejn_kolej_B;0:04:00;0,7;reverse;3100
Os 8845;Lhota_kolej_C;Beroun_kolej_C;0:04:30;0,7;ahead;8200
N 31 54 597 5 004;Karlstejn_kolej_B;Beroun_kolej_B;0:05:00;0,8;ahead;8000
R 764;Beroun_kolej_A;Karlstejn_kolej_A;0:05:30;0,7;ahead;3000
Os 8845;Beroun_kolej_C;Lhota_kolej_C;0:06:00;0,7;ahead;1500
R 764;Karlstejn_kolej_A;Beroun_kolej_A;0:06:30;0,8;ahead;9000
N 31 54 597 5 004;Beroun_kolej_B;Karlstejn_kolej_B;0:07:00;0,7;reverse;3100
Os 8845;Lhota_kolej_C;Beroun_kolej_C;0:07:30;0,7;ahead;8200
N 31 54 597 5 004;Karlstejn_kolej_B;Beroun_kolej_B;0:08:00;0,8;ahead;8000
R 764;Beroun_kolej_A;Karlstejn_kolej_A;0:08:30;0,7;ahead;3000
Os 8845;Beroun_kolej_C;Lhota_kolej_C;0:09:00;0,7;ahead;1500
R 764;Karlstejn_kolej_A;Beroun_kolej_A;0:09:30;0,8;ahead;9000
N 31 54 597 5 004;Beroun_kolej_B;Karlstejn_kolej_B;0:10:00;0,7;reverse;3100
Os 8845;Lhota_kolej_C;Beroun_kolej_C;0:10:30;0,7;ahead;8200
N 31 54 597 5 004;Karlstejn_kolej_B;Beroun_kolej_B;0:11:00;0,8;ahead;8000
R 764;Beroun_kolej_A;Karlstejn_kolej_A;0:11:30;0,7;ahead;3000
Os 8845;Beroun_kolej_C;Lhota_kolej_C;0:12:00;0,7;ahead;1500
R 764;Karlstejn_kolej_A;Beroun_kolej_A;0:12:30;0,8;ahead;9000
N 31 54 597 5 004;Beroun_kolej_B;Karlstejn_kolej_B;0:13:00;0,7;reverse;3100
